中文名,英文名,序号,海克斯名称
暗裔剑魔,Aatrox,1,吸血习性
暗裔剑魔,Aatrox,2,渴血
暗裔剑魔,Aatrox,3,最终形态
暗裔剑魔,Aatrox,4,裁决使
暗裔剑魔,Aatrox,5,升级：狂妄
暗裔剑魔,Aatrox,6,古式佳酿
暗裔剑魔,Aatrox,7,歌利亚巨人
暗裔剑魔,Aatrox,8,穿针引线
暗裔剑魔,Aatrox,9,残暴之力
暗裔剑魔,Aatrox,10,质变：棱彩阶
暗裔剑魔,Aatrox,11,夜狩
暗裔剑魔,Aatrox,12,狂徒豪气
暗裔剑魔,Aatrox,13,暗影疾奔
暗裔剑魔,Aatrox,14,杀戮时间到了
暗裔剑魔,Aatrox,15,罪恶快感
暗裔剑魔,Aatrox,16,珠光护手
暗裔剑魔,Aatrox,17,魔鬼之舞
暗裔剑魔,Aatrox,18,快中求稳
暗裔剑魔,Aatrox,19,面包和黄油
暗裔剑魔,Aatrox,20,炼狱龙魂
暗裔剑魔,Aatrox,21,扇巴掌
暗裔剑魔,Aatrox,22,战争交响乐
暗裔剑魔,Aatrox,23,循环往复
暗裔剑魔,Aatrox,24,灵魂虹吸
暗裔剑魔,Aatrox,25,小丑学院
暗裔剑魔,Aatrox,26,会心治疗
暗裔剑魔,Aatrox,27,心灵净化
暗裔剑魔,Aatrox,28,大力
暗裔剑魔,Aatrox,29,巨人杀手
暗裔剑魔,Aatrox,30,全凭身法
暗裔剑魔,Aatrox,31,坦克引擎
暗裔剑魔,Aatrox,32,急救用具
暗裔剑魔,Aatrox,33,魔法转物理
暗裔剑魔,Aatrox,34,黎明使者的坚决
暗裔剑魔,Aatrox,35,质变：黄金阶
暗裔剑魔,Aatrox,36,关键暴击
暗裔剑魔,Aatrox,37,利刃华尔兹
暗裔剑魔,Aatrox,38,终极不可阻挡
暗裔剑魔,Aatrox,39,终极唤醒
暗裔剑魔,Aatrox,40,面包和奶酪
暗裔剑魔,Aatrox,41,坚韧
暗裔剑魔,Aatrox,42,逃跑计划
暗裔剑魔,Aatrox,43,质变：混沌
暗裔剑魔,Aatrox,44,秘术冲拳
暗裔剑魔,Aatrox,45,任务：钢化你心
暗裔剑魔,Aatrox,46,作弊：我能回城！
暗裔剑魔,Aatrox,47,练腿日
暗裔剑魔,Aatrox,48,你摸不到
暗裔剑魔,Aatrox,49,恶趣味
暗裔剑魔,Aatrox,50,更万用的瞄准镜
暗裔剑魔,Aatrox,51,重量级打击手
暗裔剑魔,Aatrox,52,尖端发明家
暗裔剑魔,Aatrox,53,升级：收集者
暗裔剑魔,Aatrox,54,一板一眼
暗裔剑魔,Aatrox,55,量子计算
暗裔剑魔,Aatrox,56,无休回复
暗裔剑魔,Aatrox,57,闪光弹
暗裔剑魔,Aatrox,58,巨像的勇气
暗裔剑魔,Aatrox,59,虚幻武器
暗裔剑魔,Aatrox,60,蛋白粉奶昔
暗裔剑魔,Aatrox,61,升级：无尽之刃
暗裔剑魔,Aatrox,62,海洋龙魂
暗裔剑魔,Aatrox,63,刃下生风
暗裔剑魔,Aatrox,64,科学狂人
暗裔剑魔,Aatrox,65,全能龙魂
暗裔剑魔,Aatrox,66,会心防御
暗裔剑魔,Aatrox,67,终极刷新
暗裔剑魔,Aatrox,68,强力护盾
暗裔剑魔,Aatrox,69,易损
暗裔剑魔,Aatrox,70,雪球扭蛋机
暗裔剑魔,Aatrox,71,神圣干预
暗裔剑魔,Aatrox,72,急急小子
暗裔剑魔,Aatrox,73,任务：海牛阿福的勇士
暗裔剑魔,Aatrox,74,圣火
暗裔剑魔,Aatrox,75,星界躯体
暗裔剑魔,Aatrox,76,自我毁灭
暗裔剑魔,Aatrox,77,俯冲轰炸
暗裔剑魔,Aatrox,78,大地苏醒
暗裔剑魔,Aatrox,79,升级：雪球
暗裔剑魔,Aatrox,80,尊我为王
暗裔剑魔,Aatrox,81,史上最大雪球
暗裔剑魔,Aatrox,82,坚若磐石
暗裔剑魔,Aatrox,83,最万用的瞄准镜
暗裔剑魔,Aatrox,84,霸符兄弟
暗裔剑魔,Aatrox,85,万用瞄准镜
暗裔剑魔,Aatrox,86,灵巧
暗裔剑魔,Aatrox,87,慢炖
暗裔剑魔,Aatrox,88,炼狱导管
暗裔剑魔,Aatrox,89,侵蚀
暗裔剑魔,Aatrox,90,玻璃大炮
暗裔剑魔,Aatrox,91,防护面纱
暗裔剑魔,Aatrox,92,感受燃烧
暗裔剑魔,Aatrox,93,家园卫士
暗裔剑魔,Aatrox,94,砍伤
暗裔剑魔,Aatrox,95,缩小射线
暗裔剑魔,Aatrox,96,不动如山
暗裔剑魔,Aatrox,97,山脉龙魂
暗裔剑魔,Aatrox,98,有始有终
暗裔剑魔,Aatrox,99,风语者的祝福
暗裔剑魔,Aatrox,100,面包和果酱
暗裔剑魔,Aatrox,101,回归基本功
暗裔剑魔,Aatrox,102,火上浇油
暗裔剑魔,Aatrox,103,闪电打击
暗裔剑魔,Aatrox,104,冰霜 幽灵
暗裔剑魔,Aatrox,105,地狱三头犬
暗裔剑魔,Aatrox,106,折磨者
暗裔剑魔,Aatrox,107,升级：弯刀
暗裔剑魔,Aatrox,108,踢踏舞
暗裔剑魔,Aatrox,109,闪闪现现
暗裔剑魔,Aatrox,110,双刀流
暗裔剑魔,Aatrox,111,魔法飞弹
暗裔剑魔,Aatrox,112,轨道镭射
暗裔剑魔,Aatrox,113,唯快不破
暗裔剑魔,Aatrox,114,接二连三
暗裔剑魔,Aatrox,115,退敌力场
暗裔剑魔,Aatrox,116,连拨击锤
暗裔剑魔,Aatrox,117,夺金
暗裔剑魔,Aatrox,118,吵闹鬼
暗裔剑魔,Aatrox,119,炽烈黎明
暗裔剑魔,Aatrox,120,回力OK镖
暗裔剑魔,Aatrox,121,冰寒
暗裔剑魔,Aatrox,122,暴击律动
暗裔剑魔,Aatrox,123,台风
暗裔剑魔,Aatrox,124,基石法师
暗裔剑魔,Aatrox,125,点亮他们！
暗裔剑魔,Aatrox,126,升级：献祭
暗裔剑魔,Aatrox,127,巫师式思考
九尾妖狐,Ahri,1,魔法飞弹
九尾妖狐,Ahri,2,裁决使
九尾妖狐,Ahri,3,巫师式思考
九尾妖狐,Ahri,4,尤里卡
九尾妖狐,Ahri,5,穿针引线
九尾妖狐,Ahri,6,杀戮时间到了
九尾妖狐,Ahri,7,珠光护手
九尾妖狐,Ahri,8,基石法师
九尾妖狐,Ahri,9,循环往复
九尾妖狐,Ahri,10,炼狱导管
九尾妖狐,Ahri,11,质变：棱彩阶
九尾妖狐,Ahri,12,帽上加帽
九尾妖狐,Ahri,13,面包和黄油
九尾妖狐,Ahri,14,有始有终
九尾妖狐,Ahri,15,超强大脑
九尾妖狐,Ahri,16,吸血习性
九尾妖狐,Ahri,17,物理转魔法
九尾妖狐,Ahri,18,暗影疾奔
九尾妖狐,Ahri,19,面包和奶酪
九尾妖狐,Ahri,20,巨人杀手
九尾妖狐,Ahri,21,神射法师
九尾妖狐,Ahri,22,渴血
九尾妖狐,Ahri,23,快中求稳
九尾妖狐,Ahri,24,任务：沃格勒特的巫师帽
九尾妖狐,Ahri,25,夜狩
九尾妖狐,Ahri,26,心灵净化
九尾妖狐,Ahri,27,全凭身法
九尾妖狐,Ahri,28,古式佳酿
九尾妖狐,Ahri,29,溢流
九尾妖狐,Ahri,30,刃下生风
九尾妖狐,Ahri,31,炼狱龙魂
九尾妖狐,Ahri,32,由心及物
九尾妖狐,Ahri,33,质变：黄金阶
九尾妖狐,Ahri,34,作弊：我能回城！
九尾妖狐,Ahri,35,升级：中娅
九尾妖狐,Ahri,36,面包和果酱
九尾妖狐,Ahri,37,老练狙神
九尾妖狐,Ahri,38,终极唤醒
九尾妖狐,Ahri,39,狂徒豪气
九尾妖狐,Ahri,40,家园卫士
九尾妖狐,Ahri,41,练腿日
九尾妖狐,Ahri,42,终极不可阻挡
九尾妖狐,Ahri,43,急急小子
九尾妖狐,Ahri,44,质变：混沌
九尾妖狐,Ahri,45,大地苏醒
九尾妖狐,Ahri,46,霸符兄弟
九尾妖狐,Ahri,47,不祥契约
九尾妖狐,Ahri,48,残忍
九尾妖狐,Ahri,49,小丑学院
九尾妖狐,Ahri,50,你摸不到
九尾妖狐,Ahri,51,精怪魔法
九尾妖狐,Ahri,52,海洋龙魂
九尾妖狐,Ahri,53,易损
九尾妖狐,Ahri,54,炽烈黎明
九尾妖狐,Ahri,55,罪恶快感
九尾妖狐,Ahri,56,无休回复
九尾妖狐,Ahri,57,逃跑计划
九尾妖狐,Ahri,58,防护面纱
九尾妖狐,Ahri,59,物法皆修
九尾妖狐,Ahri,60,闪光弹
九尾妖狐,Ahri,61,全能龙魂
九尾妖狐,Ahri,62,玻璃大炮
九尾妖狐,Ahri,63,侵蚀
九尾妖狐,Ahri,64,终极刷新
九尾妖狐,Ahri,65,关键暴击
九尾妖狐,Ahri,66,虚幻武器
九尾妖狐,Ahri,67,旋转至胜
九尾妖狐,Ahri,68,坚若磐石
九尾妖狐,Ahri,69,尖端发明家
九尾妖狐,Ahri,70,冰寒
九尾妖狐,Ahri,71,自我毁灭
九尾妖狐,Ahri,72,神圣干预
九尾妖狐,Ahri,73,火上浇油
九尾妖狐,Ahri,74,灵魂虹吸
九尾妖狐,Ahri,75,任务：海牛阿福的勇士
九尾妖狐,Ahri,76,歌利亚巨人
九尾妖狐,Ahri,77,科学狂人
九尾妖狐,Ahri,78,折磨者
九尾妖狐,Ahri,79,利刃华尔兹
九尾妖狐,Ahri,80,扇巴掌
九尾妖狐,Ahri,81,尊我为王
九尾妖狐,Ahri,82,夺金
九尾妖狐,Ahri,83,升级：雪球
九尾妖狐,Ahri,84,感受燃烧
九尾妖狐,Ahri,85,回力OK镖
九尾妖狐,Ahri,86,雪球扭蛋机
九尾妖狐,Ahri,87,唯快不破
九尾妖狐,Ahri,88,坦克引擎
九尾妖狐,Ahri,89,俯冲轰炸
九尾妖狐,Ahri,90,退敌力场
九尾妖狐,Ahri,91,史上最大雪球
九尾妖狐,Ahri,92,坚韧
九尾妖狐,Ahri,93,黎明使者的坚决
九尾妖狐,Ahri,94,轨道镭射
九尾妖狐,Ahri,95,精准奇才
九尾妖狐,Ahri,96,缩小射线
九尾妖狐,Ahri,97,量子计算
九尾妖狐,Ahri,98,魔法转物理
九尾妖狐,Ahri,99,恶趣味
九尾妖狐,Ahri,100,更万用的瞄准镜
九尾妖狐,Ahri,101,会心防御
九尾妖狐,Ahri,102,山脉龙魂
九尾妖狐,Ahri,103,闪闪现现
九尾妖狐,Ahri,104,连拨击锤
九尾妖狐,Ahri,105,冰霜 幽灵
九尾妖狐,Ahri,106,吵闹鬼
九尾妖狐,Ahri,107,暴击律动
九尾妖狐,Ahri,108,秘术冲拳
九尾妖狐,Ahri,109,不动如山
九尾妖狐,Ahri,110,升级：狂妄
九尾妖狐,Ahri,111,慢炖
九尾妖狐,Ahri,112,升级：耀光
九尾妖狐,Ahri,113,闪电打击
九尾妖狐,Ahri,114,最万用的瞄准镜
九尾妖狐,Ahri,115,巨像的勇气
九尾妖狐,Ahri,116,台风
九尾妖狐,Ahri,117,会心治疗
九尾妖狐,Ahri,118,踢踏舞
九尾妖狐,Ahri,119,点亮他们！
九尾妖狐,Ahri,120,双刀流
九尾妖狐,Ahri,121,万用瞄准镜
九尾妖狐,Ahri,122,灵巧
九尾妖狐,Ahri,123,亮出你的剑
九尾妖狐,Ahri,124,地狱三头犬
九尾妖狐,Ahri,125,战争交响乐
九尾妖狐,Ahri,126,接二连三
九尾妖狐,Ahri,127,星界躯体
九尾妖狐,Ahri,128,回归基本功
九尾妖狐,Ahri,129,升级：收集者
九尾妖狐,Ahri,130,活力再生
九尾妖狐,Ahri,131,任务：钢化你心
九尾妖狐,Ahri,132,升级：无尽之刃
九尾妖狐,Ahri,133,残暴之力
九尾妖狐,Ahri,134,升级：弯刀
九尾妖狐,Ahri,135,一板一眼
九尾妖狐,Ahri,136,大力
九尾妖狐,Ahri,137,重量级打击手
离群之刺,Akali,1,神射法师
离群之刺,Akali,2,裁决使
离群之刺,Akali,3,吸血习性
离群之刺,Akali,4,杀戮时间到了
离群之刺,Akali,5,夜狩
离群之刺,Akali,6,穿针引线
离群之刺,Akali,7,巫师式思考
离群之刺,Akali,8,暗影疾奔
离群之刺,Akali,9,质变：棱彩阶
离群之刺,Akali,10,珠光护手
离群之刺,Akali,11,物理转魔法
离群之刺,Akali,12,渴血
离群之刺,Akali,13,炼狱龙魂
离群之刺,Akali,14,魔法飞弹
离群之刺,Akali,15,快中求稳
离群之刺,Akali,16,最终形态
离群之刺,Akali,17,全凭身法
离群之刺,Akali,18,有始有终
离群之刺,Akali,19,狂徒豪气
离群之刺,Akali,20,巨人杀手
离群之刺,Akali,21,心灵净化
离群之刺,Akali,22,超强大脑
离群之刺,Akali,23,魔鬼之舞
离群之刺,Akali,24,尤里卡
离群之刺,Akali,25,任务：沃格勒特的巫师帽
离群之刺,Akali,26,古式佳酿
离群之刺,Akali,27,循环往复
离群之刺,Akali,28,小丑学院
离群之刺,Akali,29,帽上加帽
离群之刺,Akali,30,歌利亚巨人
离群之刺,Akali,31,面包和果酱
离群之刺,Akali,32,质变：黄金阶
离群之刺,Akali,33,大地苏醒
离群之刺,Akali,34,任务：钢化你心
离群之刺,Akali,35,终极不可阻挡
离群之刺,Akali,36,作弊：我能回城！
离群之刺,Akali,37,升级：中娅
离群之刺,Akali,38,面包和黄油
离群之刺,Akali,39,不祥契约
离群之刺,Akali,40,物法皆修
离群之刺,Akali,41,罪恶快感
离群之刺,Akali,42,逃跑计划
离群之刺,Akali,43,面包和奶酪
离群之刺,Akali,44,刃下生风
离群之刺,Akali,45,终极刷新
离群之刺,Akali,46,尖端发明家
离群之刺,Akali,47,坦克引擎
离群之刺,Akali,48,你摸不到
离群之刺,Akali,49,练腿日
离群之刺,Akali,50,利刃华尔兹
离群之刺,Akali,51,炼狱导管
离群之刺,Akali,52,虚幻武器
离群之刺,Akali,53,质变：混沌
离群之刺,Akali,54,终极唤醒
离群之刺,Akali,55,升级：耀光
离群之刺,Akali,56,无休回复
离群之刺,Akali,57,闪光弹
离群之刺,Akali,58,霸符兄弟
离群之刺,Akali,59,更万用的瞄准镜
离群之刺,Akali,60,俯冲轰炸
离群之刺,Akali,61,关键暴击
离群之刺,Akali,62,雪球扭蛋机
离群之刺,Akali,63,自我毁灭
离群之刺,Akali,64,灵魂虹吸
离群之刺,Akali,65,易损
离群之刺,Akali,66,基石法师
离群之刺,Akali,67,升级：雪球
离群之刺,Akali,68,魔法转物理
离群之刺,Akali,69,黎明使者的坚决
离群之刺,Akali,70,全能龙魂
离群之刺,Akali,71,战争交响乐
离群之刺,Akali,72,家园卫士
离群之刺,Akali,73,量子计算
离群之刺,Akali,74,坚韧
离群之刺,Akali,75,海洋龙魂
离群之刺,Akali,76,炽烈黎明
离群之刺,Akali,77,防护面纱
离群之刺,Akali,78,神圣干预
离群之刺,Akali,79,重量级打击手
离群之刺,Akali,80,任务：海牛阿福的勇士
离群之刺,Akali,81,急急小子
离群之刺,Akali,82,科学狂人
离群之刺,Akali,83,残暴之力
离群之刺,Akali,84,侵蚀
离群之刺,Akali,85,精怪魔法
离群之刺,Akali,86,秘术冲拳
离群之刺,Akali,87,史上最大雪球
离群之刺,Akali,88,冰寒
离群之刺,Akali,89,尊我为王
离群之刺,Akali,90,星界躯体
离群之刺,Akali,91,升级：狂妄
离群之刺,Akali,92,万用瞄准镜
离群之刺,Akali,93,玻璃大炮
离群之刺,Akali,94,慢炖
离群之刺,Akali,95,唯快不破
离群之刺,Akali,96,火上浇油
离群之刺,Akali,97,感受燃烧
离群之刺,Akali,98,最万用的瞄准镜
离群之刺,Akali,99,会心防御
离群之刺,Akali,100,缩小射线
离群之刺,Akali,101,夺金
离群之刺,Akali,102,山脉龙魂
离群之刺,Akali,103,冰霜 幽灵
离群之刺,Akali,104,闪闪现现
离群之刺,Akali,105,退敌力场
离群之刺,Akali,106,升级：收集者
离群之刺,Akali,107,轨道镭射
离群之刺,Akali,108,大力
离群之刺,Akali,109,会心治疗
离群之刺,Akali,110,一板一眼
离群之刺,Akali,111,回力OK镖
离群之刺,Akali,112,闪电打击
离群之刺,Akali,113,砍伤
离群之刺,Akali,114,升级：无尽之刃
离群之刺,Akali,115,连拨击锤
离群之刺,Akali,116,踢踏舞
离群之刺,Akali,117,地狱三头犬
离群之刺,Akali,118,灵巧
离群之刺,Akali,119,双刀流
离群之刺,Akali,120,台风
离群之刺,Akali,121,点亮他们！
离群之刺,Akali,122,接二连三
离群之刺,Akali,123,升级：弯刀
离群之刺,Akali,124,回归基本功
离群之刺,Akali,125,吵闹鬼
离群之刺,Akali,126,升级：献祭
离群之刺,Akali,127,暴击律动
影哨,Akshan,1,更万用的瞄准镜
影哨,Akshan,2,暴击律动
影哨,Akshan,3,接二连三
影哨,Akshan,4,灵巧
影哨,Akshan,5,闪电打击
影哨,Akshan,6,双刀流
影哨,Akshan,7,台风
影哨,Akshan,8,吸血习性
影哨,Akshan,9,最万用的瞄准镜
